pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
495.465810,263.639711,587.238681,273.814547,567.214173,230.840459,569.264126,258.514828,515.100000,242.500000,493.790000,265.220000,584.900000,390.950000
501.615670,266.714640,592.970000,275.880000,575.413985,233.915389,576.438962,258.514828,521.270000,244.980000,500.770000,264.360000,586.120000,393.400000
504.690600,265.689664,599.040000,277.820000,581.563845,234.940366,581.563845,259.539804,526.060000,245.790000,503.665623,267.739617,586.650000,394.620000
507.765529,263.639711,604.970000,279.330000,585.663752,238.015295,585.663752,260.564781,531.290000,246.950000,513.915389,272.864500,587.120000,396.370000
516.990319,260.564781,610.980000,280.590000,588.738681,239.040272,591.813611,262.614734,537.320000,247.420000,522.115202,273.889477,587.560000,397.420000
521.090225,262.614734,616.870000,282.600000,592.838588,241.090225,598.988447,265.689664,542.800000,247.950000,539.539804,279.014360,588.030000,398.460000
528.265062,262.614734,622.600000,284.150000,603.088354,243.140179,605.138307,265.689664,547.250000,250.310000,548.764594,283.114266,586.900000,399.580000
532.364968,265.689664,628.390000,285.460000,604.113330,246.215108,610.263190,269.789570,554.914453,247.240085,556.964407,285.164219,586.580000,401.310000
538.514828,268.764594,633.840000,286.450000,610.263190,247.240085,616.413050,269.789570,560.039336,249.290038,563.114266,285.164219,586.350000,402.300000
543.639711,271.839524,639.200000,287.810000,615.810000,248.920000,621.537933,270.814547,565.164219,251.339991,567.214173,287.214173,587.550000,403.960000
551.839524,274.914453,644.760000,289.810000,621.480000,250.580000,628.712769,272.864500,571.314079,253.389945,571.870000,288.410000,588.050000,405.230000
556.964407,277.989383,650.460000,291.630000,626.880000,252.150000,634.900000,274.840000,578.488915,254.414921,576.010000,289.950000,588.670000,406.490000
562.089290,280.039336,656.880000,293.230000,632.090000,253.680000,640.850000,276.940000,582.588822,256.464874,580.538868,287.214173,588.730000,407.740000
566.189196,283.114266,662.910000,294.600000,637.160000,255.370000,646.850000,278.830000,588.738681,259.539804,582.588822,287.214173,589.180000,409.290000
571.314079,283.114266,668.830000,296.170000,642.240000,256.310000,652.850000,280.750000,595.913518,262.614734,587.713705,286.189196,589.740000,410.490000
580.538868,284.139243,675.040000,297.510000,647.060000,257.030000,658.920000,282.800000,602.063377,262.614734,591.813611,286.189196,589.690000,411.560000
585.663752,286.189196,680.390000,299.360000,652.070000,258.260000,664.830000,284.690000,607.188260,265.689664,593.863564,291.314079,590.160000,413.080000
589.763658,285.164219,685.750000,300.460000,655.362161,261.589757,670.850000,286.750000,613.338120,267.739617,600.013424,293.364032,590.800000,414.500000
594.888541,291.314079,691.120000,301.680000,662.536997,262.614734,676.886670,284.139243,620.512956,267.739617,602.063377,297.463939,591.720000,416.270000
598.988447,292.339056,696.210000,304.280000,666.636903,263.639711,682.011553,287.214173,624.612863,270.814547,608.213237,299.513892,592.610000,417.500000
605.138307,293.364032,701.470000,305.630000,676.886670,267.739617,686.111459,288.239149,631.787699,270.814547,609.238213,304.638775,593.090000,419.280000
610.263190,297.463939,706.760000,307.430000,678.936623,268.764594,689.186389,291.314079,635.887605,271.839524,613.338120,302.588822,593.010000,420.130000
615.388073,299.513892,711.950000,308.800000,684.061506,268.764594,697.386202,292.339056,641.012488,274.914453,613.338120,306.688728,592.930000,421.190000
621.537933,299.513892,716.970000,310.820000,690.211365,271.839524,702.511085,292.339056,643.910000,277.550000,616.413050,306.688728,592.420000,422.330000
621.537933,299.513892,721.710000,313.270000,697.386202,272.864500,703.536061,297.463939,649.212301,275.939430,630.762722,308.738681,591.950000,424.300000
627.687792,303.613798,724.530000,315.190000,703.536061,275.939430,707.635968,298.488915,654.337184,277.989383,631.787699,309.763658,591.100000,425.770000
632.812675,306.688728,729.650000,316.690000,708.340000,277.750000,712.760851,302.588822,658.437091,281.064313,635.887605,310.788635,590.210000,427.430000
635.887605,306.688728,733.990000,318.510000,711.735874,282.089290,717.885734,302.588822,662.860000,283.910000,641.012488,313.863564,589.080000,428.600000
