pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
291.495465,345.637839,354.019038,348.712769,311.994997,316.938494,349.849425,352.987223,311.320000,350.060000,398.682478,386.794721
291.495465,345.637839,356.068992,348.712769,314.044951,316.938494,351.727619,352.987223,314.163732,349.230834,398.682478,385.855624
295.595372,345.637839,358.118945,348.712769,318.144857,316.938494,353.605813,352.048125,316.410000,349.090000,403.377964,385.855624
298.670302,345.637839,362.218851,348.712769,323.269740,314.888541,356.423105,352.048125,318.480000,349.100000,400.560672,384.916527
300.720255,343.587886,365.293781,348.712769,325.319693,315.913518,359.240396,352.987223,320.190000,349.100000,404.317061,386.794721
303.795185,346.662816,369.393687,347.687792,327.369647,315.913518,360.179494,352.987223,324.493801,349.230834,405.256158,385.855624
306.870114,343.587886,372.468617,347.687792,330.444576,316.938494,363.935882,352.987223,326.470000,349.150000,412.768935,384.916527
308.920068,342.562909,372.468617,349.737746,335.569459,314.888541,365.814077,352.987223,328.400000,349.110000,413.708032,385.855624
311.994997,343.587886,373.493594,348.712769,334.544483,315.913518,367.692271,352.048125,330.030000,348.980000,411.829838,388.672915
311.994997,342.562909,373.493594,348.712769,338.644389,313.863564,370.509562,352.048125,335.762967,349.230834,415.586227,387.733818
315.069927,341.537933,377.593500,348.712769,340.694342,313.863564,370.509562,352.048125,338.360000,349.090000,414.647130,389.612012
317.119881,342.562909,381.693407,349.737746,343.769272,313.863564,374.265951,352.048125,340.380000,349.130000,418.403518,391.490207
322.244764,344.612863,382.718383,348.712769,344.794249,315.913518,374.265951,352.048125,342.420000,349.110000,420.281713,391.490207
318.144857,344.612863,384.768337,348.712769,347.869179,315.913518,377.083243,352.048125,345.460000,348.830000,422.159907,391.490207
322.244764,345.637839,387.843266,348.712769,350.944109,313.863564,380.839631,352.048125,347.130000,349.180000,421.220810,391.490207
324.294717,342.562909,389.893220,347.687792,355.044015,311.813611,381.778729,352.048125,348.950000,348.960000,422.159907,390.551110
328.394623,344.612863,391.943173,347.687792,356.068992,314.888541,385.535117,352.048125,350.800000,349.070000,424.038101,392.429304
329.419600,345.637839,395.018103,348.712769,359.143921,313.863564,388.352409,352.048125,354.480000,348.900000,425.916296,392.429304
